t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),window_start,window_end
23,37,1.2691806566039092,0.23171962505705973,0.8563108593581336,0.9135553578002846,1.106171674468668,1.2551068450684844,1.4168595798142876,1.672821237176696,1.7619966282364936,2023-01-24,2023-02-07
24,38,1.2524143592011854,0.22494025924699865,0.8509547939378735,0.9067686722965703,1.0942650752549803,1.2389735851611872,1.3959227487332548,1.6439153546604357,1.7302251993559181,2023-01-25,2023-02-08
25,39,1.2834251069911087,0.2234156342197029,0.8834507894805075,0.9393384067338951,1.126516640071853,1.2704847549430895,1.4262371214564595,1.6716594019733724,1.7569098785846944,2023-01-26,2023-02-09
26,40,1.1270826758332986,0.20577620190906012,0.7604379484422594,0.8112733296350018,0.9823242454129495,1.1145845739421423,1.25822740693999,1.4855314933910821,1.5647227715209413,2023-01-27,2023-02-10
27,41,1.1274370236861067,0.20249366715531134,0.7660387579560036,0.8162830181202222,0.9850693187165437,1.115337492753422,1.256624836313247,1.4798704765988102,1.5575675372428215,2023-01-28,2023-02-11
28,42,1.1370401495372076,0.2010022000547814,0.777734620564058,0.8278168438202261,0.9957986080907627,1.125218165858021,1.2654038158102479,1.4865957966791918,1.5635021768173119,2023-01-29,2023-02-12
29,43,1.1168262442775458,0.1974288526839391,0.7639083243302446,0.8131002031983933,0.9780956459483595,1.1052144277223341,1.2429079058299242,1.4601676124099598,1.5357067776061903,2023-01-30,2023-02-13
30,44,1.0644767004760685,0.19118565928946907,0.7232602729683101,0.7706987046978317,0.930059343535923,1.0530528528518148,1.1864501798261184,1.3972289440269698,1.4705871086192768,2023-01-31,2023-02-14
31,45,1.049906236487196,0.1885687267040774,0.7133603496001858,0.7601494482246293,0.9173287725742064,1.038638757490221,1.1702101535183407,1.3781037964271676,1.4504578408776208,2023-02-01,2023-02-15
32,46,1.0402595258959972,0.18683612633478022,0.7068058777810127,0.7531650704980837,0.9089002054522404,1.029095574342901,1.159458070818419,1.3654415528603085,1.4371307964907842,2023-02-02,2023-02-16
33,47,0.9676188643138184,0.17968231223524936,0.648029539626731,0.6922137563432319,0.8411412176490373,0.9565198224074807,1.0820070881773107,1.2808905292134156,1.3502552673071901,2023-02-03,2023-02-17
34,48,0.9986882257770748,0.1823346897243054,0.6738107521543379,0.7188550933891509,0.8704203150527022,0.9876138765115856,1.1148932758920715,1.316303447192846,1.3864734522406617,2023-02-04,2023-02-18
35,49,0.9015709738474095,0.173507414814785,0.5941409527232521,0.6363791821846254,0.7792833197300152,0.8904652284365282,1.011762648132802,1.2046526919615863,1.2720840567532368,2023-02-05,2023-02-19
36,50,0.8398757855895294,0.16797515711790587,0.5435233250699486,0.5839530638622631,0.7213203275107207,0.8287043749291707,0.9462646137813223,1.1339130486373024,1.1996818508012894,2023-02-06,2023-02-20
37,51,0.8516697170440081,0.17033394340880162,0.5511557356594333,0.5921532078906924,0.7314494473702868,0.840341432172202,0.9595525072820286,1.1498359898631652,1.2165283485314282,2023-02-07,2023-02-21
38,52,0.801332116735914,0.16708929678630452,0.5079758229418204,0.5476755788067983,0.6832176791228265,0.7897490065479893,0.906832609159628,1.0945085373475587,1.1604774785275882,2023-02-08,2023-02-22
39,53,0.8951011690237425,0.1790202338047485,0.5792622814102093,0.6223504464427605,0.7687501883891487,0.883195190885901,1.008485512422447,1.2084726251443183,1.278566004084817,2023-02-09,2023-02-23
40,54,0.812318083782319,0.17318679737100717,0.5090754183333792,0.5499296887053529,0.6897897024512344,0.800043938699153,0.9214806263463788,1.116584497591348,1.1852729126646093,2023-02-10,2023-02-24
41,55,0.9498363445822009,0.18996726891644017,0.6146840010600246,0.6604069948238586,0.8157590383138681,0.9372023193518942,1.070154107527522,1.2823703738948966,1.3567499425249676,2023-02-11,2023-02-25
42,56,1.0169146522334613,0.1994333713614169,0.6642824130153566,0.712565653782308,0.8762578259139774,1.003907418280126,1.1434049524603394,1.3656412893597685,1.4434294531882206,2023-02-12,2023-02-26
43,57,1.0779475453413363,0.20745110182503895,0.7103742247176524,0.760875624039718,0.9317364533638942,1.0646691553397616,1.2096962908739253,1.4403218936245434,1.5209450239877427,2023-02-13,2023-02-27
44,58,1.0882112296153277,0.2094263487845277,0.7171380573274987,0.7681203060380865,0.9406079878139935,1.0748064093405632,1.2212144216499612,1.4540359275151247,1.5354267115167637,2023-02-14,2023-02-28
45,59,1.1687896427187348,0.21703878796249104,0.7827567671788068,0.8361270111606744,1.0160169251652529,1.155383077693333,1.3069595112810342,1.5471913986121109,1.6309772676602445,2023-02-15,2023-03-01
46,60,1.241118911403498,0.2229115369337673,0.8432800851783478,0.8985905816133581,1.0843959660871016,1.2277993588749059,1.3833330076287391,1.6290889835509352,1.7146204050847684,2023-02-16,2023-03-02
47,61,1.2615906390980283,0.22301982399692155,0.8629270632223748,0.9184952540825796,1.1048776095597692,1.2484736845636595,1.4040151610784384,1.6494363387047422,1.734766983632854,2023-02-17,2023-03-03
48,62,1.2311160363062215,0.21763262442490827,0.8420824574722849,0.8963083598818282,1.0781885194211742,1.2183159309675307,1.3701001945104156,1.6095930522260657,1.6928624758439024,2023-02-18,2023-03-04
49,63,1.1953797819554712,0.2113152874785026,0.817638885950933,0.8702907444980306,1.0468913727414033,1.182951232023915,1.3303295737134189,1.562870545964078,1.643722864114768,2023-02-19,2023-03-05
50,64,1.1973122138858185,0.2084253036403704,0.8241746361748623,0.876312409059276,1.0509317021744906,1.1852401097367893,1.3305420909371386,1.559497479468935,1.6390279766754463,2023-02-20,2023-03-06
51,65,1.307221700028108,0.21490592366820846,0.9204047145553882,0.9749264929486777,1.1565783701090866,1.2954639761929838,1.4450558553681665,1.6796291418991083,1.7608337946977524,2023-02-21,2023-03-07
52,66,1.3409532695327981,0.21472437138918238,0.9535488610525608,1.0083615221652809,1.1905661347587915,1.3295097086932923,1.4788730729799946,1.7125851845680715,1.7933692039608014,2023-02-22,2023-03-08
53,67,1.295580589909845,0.2074589279679692,0.921284450382647,0.9742424627402952,1.1502819749527087,1.284524234971927,1.428833719881052,1.6546379162538696,1.7326885164336854,2023-02-23,2023-03-09
54,68,1.2770048956488256,0.2019122026717967,0.9123110196774091,0.9640026694728335,1.135648571869383,1.2663790978789946,1.406784632585405,1.6262573377498584,1.702065037616994,2023-02-24,2023-03-10
55,69,1.3199710758957446,0.20129370195449106,0.9552696125938833,1.007218942125478,1.1792087312666353,1.3097529633465013,1.4496005334334254,1.667582281186588,1.7427240073065355,2023-02-25,2023-03-11
56,70,1.270614970123821,0.1937669663870879,0.919550354118547,0.9695572042655822,1.1351159841372513,1.2607789312828426,1.395397347801782,1.6052283637738312,1.6775604048559878,2023-02-26,2023-03-12
57,71,1.278668617038149,0.19061266322619647,0.9326696634415083,0.9821031747281213,1.1454692083742337,1.2692095719531464,1.4015619066285696,1.6075034010843232,1.678407315144995,2023-02-27,2023-03-13
58,72,1.1768562236943956,0.17946889160042329,0.8516966844325303,0.8980135264394814,1.0513557151122912,1.1677459866842197,1.292430903066686,1.4867784771762211,1.5537731330882,2023-02-28,2023-03-14
59,73,1.3740987325108036,0.19055320913914534,1.0262426576506312,1.0763918753706756,1.2412288948040868,1.3653005158721907,1.4973817727308059,1.7018200637041156,1.7719421034108904,2023-03-01,2023-03-15
60,74,1.4589334779163445,0.1932404598305638,1.104981968867451,1.1562829921947053,1.3243672590369586,1.4504106300311963,1.5842125754510412,1.790658783301934,1.861308815848614,2023-03-02,2023-03-16
61,75,1.423238303253323,0.1868803447095179,1.0807245136683983,1.130416382986412,1.2931328826914963,1.4150671825771464,1.5444398060575726,1.743935118288735,1.812177711176236,2023-03-03,2023-03-17
62,76,1.3968465458111816,0.18033211363780205,1.065941071073663,1.1140390972482432,1.2713592546231818,1.3890939983799317,1.5138859149477781,1.7061008930447277,1.7717997677475217,2023-03-04,2023-03-18
63,77,1.4545624611441557,0.17904426206480187,1.1249585020733608,1.1731116388942326,1.3301326917835685,1.4472228186042597,1.5709939606388328,1.7610514093315472,1.825868969163653,2023-03-05,2023-03-19
64,78,1.4190982174985614,0.17209093658447977,1.1019852933773933,1.1483847596332224,1.2995481673488571,1.412147948466855,1.5310742315882568,1.7135214553105584,1.7757015643261769,2023-03-06,2023-03-20
65,79,1.3605751329323865,0.16379399806534917,1.0586086651029423,1.1028246879029202,1.2468107567406101,1.3540079810484975,1.4671829375810141,1.6407283876058392,1.6998553089653792,2023-03-07,2023-03-21
66,80,1.2873284824077893,0.15497613755627032,1.0016183989586624,1.0434540493034727,1.1796886187867435,1.281114873571497,1.3881970489788675,1.5523996684459227,1.6083434881592615,2023-03-08,2023-03-22
67,81,1.1889851518897196,0.14525765535426421,0.9214471614746487,0.9605632126173108,1.0880561523414911,1.1830750633496185,1.2834736827926942,1.4375684773578592,1.4901033157508605,2023-03-09,2023-03-23
68,82,1.2253370558955123,0.1444073569104794,0.9587507806253278,0.9978692406040088,1.1250933803283483,1.2196688918765906,1.3194037455954162,1.4721408640869122,1.5241293550944826,2023-03-10,2023-03-24
69,83,1.2676831230002548,0.14446589946526314,1.0004356963212064,1.0397787444689257,1.1674845872034854,1.2621995607399041,1.3619057178614988,1.5142936689965065,1.566088041135003,2023-03-11,2023-03-25
70,84,1.2122718967722377,0.1390571234243304,0.9551323727085294,0.9929638204476438,1.1158088740425127,1.2069590805019594,1.302945079672577,1.4497036879668475,1.499598671103531,2023-03-12,2023-03-26
71,85,1.1881226482179292,0.13539914189566685,0.9376478138099036,0.9745216710902649,1.0942126264321508,1.1829832372750622,1.2764317823362068,1.4192557836769533,1.4677995131559194,2023-03-13,2023-03-27
72,86,1.2268536244363926,0.1354833180169675,0.9757530961596098,1.012827577665246,1.1329586450102151,1.2218700347708666,1.3153174266640069,1.457880204036955,1.5062710961062797,2023-03-14,2023-03-28
73,87,1.2650777794165369,0.13563057448572322,1.0132754409151106,1.0505526599143566,1.1711481969264899,1.2602340535025216,1.3537285220003616,1.4961262541263296,1.544402596328479,2023-03-15,2023-03-29
74,88,1.1427337422236048,0.12697041580262275,0.9074955399208979,0.9422084200968104,1.0547252382394774,1.1380345901625024,1.2256210709339783,1.3592893069246008,1.4046726514782448,2023-03-16,2023-03-30
75,89,1.107164511048423,0.12301827900538034,0.8792484361055486,0.9128808279628692,1.0218953983222294,1.1026116268534145,1.1874718524463914,1.316979472353799,1.3609501950391238,2023-03-17,2023-03-31
76,90,1.1464791126073621,0.12362802213226902,0.9170353042173638,0.9509851117328476,1.06084988461326,1.1420384701216093,1.2272688086541894,1.3571214445974817,1.4011550007550984,2023-03-18,2023-04-01
77,91,1.1767015719257898,0.12403523645286468,0.9462070209236576,0.9803805037108956,1.0908368845452212,1.1723462991737676,1.2578197073075053,1.3878797103074125,1.4319432882515393,2023-03-19,2023-04-02
78,92,1.2178141009943448,0.12494509044842413,0.9852843312467332,1.0198392641056444,1.1313742385039383,1.2135437447527404,1.2995998922723229,1.4303562895921489,1.4746087114872122,2023-03-20,2023-04-03
79,93,1.2152401940768074,0.12338894707721212,0.9854779324804346,1.0196513551167907,1.1298973935174812,1.2110666718001406,1.2960344350067943,1.425066041618322,1.4687171360795868,2023-03-21,2023-04-04
80,94,1.256061846576519,0.12376345126169504,1.0252383895403865,1.0596539452634905,1.1705182234186808,1.25199926848718,1.3371777607257342,1.4663282528146713,1.5099697564371923,2023-03-22,2023-04-05
81,95,1.33786012317207,0.12585529368462162,1.10258609559972,1.1377926656321702,1.250959142850916,1.3339157094362548,1.4204620913928183,1.5513829365101635,1.5955474131833005,2023-03-23,2023-04-06
